Converted from gr_24x23.xyz

1104 atoms
1 atom types


0.62976 60.258047595321 xlo xhi # 
-0.7100 50.410000000000 ylo yhi # 
-20.00 20.0000000 zlo zhi

#original that wroked


#exact size of relaxed graphene in vmd
#0.936002 59.321999 xlo xhi
#1.340690 47.026798 ylo yhi

Masses

1 12.011
#2 1.008 #H
#2 3.016 #T


Atoms # atomic

1 1 1.229756073374 0.710000000000 0.000000000000
2 1 2.459512146748 1.420000000000 0.000000000000
3 1 2.459512146748 2.840000000000 0.000000000000
4 1 3.689268220122 3.550000000000 0.000000000000
5 1 3.689268220122 4.970000000000 0.000000000000
6 1 4.919024293496 5.680000000000 0.000000000000
7 1 4.919024293496 7.100000000000 0.000000000000
8 1 6.148780366870 7.810000000000 0.000000000000
9 1 6.148780366870 9.230000000000 0.000000000000
10 1 7.378536440243 9.940000000000 0.000000000000
11 1 7.378536440243 11.360000000000 0.000000000000
12 1 8.608292513617 12.070000000000 0.000000000000
13 1 8.608292513617 13.490000000000 0.000000000000
14 1 9.838048586991 14.200000000000 0.000000000000
15 1 9.838048586991 15.620000000000 0.000000000000
16 1 11.067804660365 16.330000000000 0.000000000000
17 1 11.067804660365 17.750000000000 0.000000000000
18 1 12.297560733739 18.460000000000 0.000000000000
19 1 12.297560733739 19.880000000000 0.000000000000
20 1 13.527316807113 20.590000000000 0.000000000000
21 1 13.527316807113 22.010000000000 0.000000000000
22 1 14.757072880487 22.720000000000 0.000000000000
23 1 14.757072880487 24.140000000000 0.000000000000
24 1 15.986828953861 24.850000000000 0.000000000000
25 1 15.986828953861 26.270000000000 0.000000000000
26 1 17.216585027235 26.980000000000 0.000000000000
27 1 17.216585027235 28.400000000000 0.000000000000
28 1 18.446341100609 29.110000000000 0.000000000000
29 1 18.446341100609 30.530000000000 0.000000000000
30 1 19.676097173982 31.240000000000 0.000000000000
31 1 19.676097173982 32.660000000000 0.000000000000
32 1 20.905853247356 33.370000000000 0.000000000000
33 1 20.905853247356 34.790000000000 0.000000000000
34 1 22.135609320730 35.500000000000 0.000000000000
35 1 22.135609320730 36.920000000000 0.000000000000
36 1 23.365365394104 37.630000000000 0.000000000000
37 1 23.365365394104 39.050000000000 0.000000000000
38 1 24.595121467478 39.760000000000 0.000000000000
39 1 24.595121467478 41.180000000000 0.000000000000
40 1 25.824877540852 41.890000000000 0.000000000000
41 1 25.824877540852 43.310000000000 0.000000000000
42 1 27.054633614226 44.020000000000 0.000000000000
43 1 27.054633614226 45.440000000000 0.000000000000
44 1 28.284389687600 46.150000000000 0.000000000000
45 1 28.284389687600 47.570000000000 0.000000000000
46 1 29.514145760974 48.280000000000 0.000000000000
47 1 3.689268220122 0.710000000000 0.000000000000
